P_ID,Fixation_Duration,In_Out,Response b correct,G/L/N
P 14,554,1,1,N
P 14,430,1,1,N
P 14,1000,1,1,N
P 14,894,1,1,N
P 14,1068,1,1,N
P 15,868,1,1,N
P 15,1664,1,1,N
P 15,296,1,1,N
P 15,1018,1,1,N
P 16,116,1,1,N
P 16,348,1,1,N
P 16,760,1,1,N
P 16,500,1,1,N
P 16,288,1,1,N
P 16,274,1,1,N
P 16,456,1,1,N
P 16,532,1,1,N
P 16,744,1,1,N
P 16,666,1,1,N
P 16,168,1,1,N
P 16,254,1,1,N
P 16,144,1,1,N
P 16,146,1,1,N
P 16,402,1,1,N
P 16,1068,1,1,N
P 16,84,1,1,N
P 16,524,1,1,N
P 16,1408,1,1,N
P 16,252,1,1,N
P 16,98,1,1,N
P 16,318,1,1,N
P 16,354,1,1,N
P 16,306,1,1,N
P 16,924,1,1,N
P 16,252,1,1,N
P 2,386,1,1,N
P 2,1610,1,1,N
P 5,746,1,1,N
