Image,P_ID,Condition,In_Out,X,Y
Uo.png,P10,Local,0.0,380.2,302.4
Uo.png,P10,Local,0.0,312.3,232.9
Uo.png,P10,Local,0.0,379.1,303.4
Uo.png,P10,Local,1.0,383.6,289.6
Uo.png,P10,Local,1.0,398.5,258.2
Uo.png,P10,Local,1.0,376.2,291.7
Uo.png,P11,Local,1.0,391.3,259.1
Uo.png,P11,Local,0.0,344.9,270.2
Uo.png,P11,Local,1.0,369.4,260.0
Uo.png,P11,Local,1.0,385.9,254.4
Uo.png,P11,Local,1.0,358.8,269.8
Uo.png,P11,Local,1.0,381.7,269.3
Uo.png,P11,Local,1.0,400.0,273.0
Uo.png,P11,Local,0.0,327.6,295.1
Uo.png,P11,Local,1.0,375.5,255.7
Uo.png,P12,Local,1.0,376.9,293.4
Uo.png,P12,Local,0.0,383.5,306.7
Uo.png,P12,Local,1.0,364.1,279.8
Uo.png,P12,Local,1.0,380.1,286.6
Uo.png,P13,Local,0.0,442.3,344.9
Uo.png,P13,Local,0.0,383.6,339.6
Uo.png,P13,Local,0.0,425.9,344.4
Uo.png,P13,Local,1.0,382.4,248.2
Uo.png,P13,Local,1.0,417.4,271.9
Uo.png,P13,Local,1.0,350.9,288.3
Uo.png,P13,Local,1.0,424.7,267.4
Uo.png,P13,Local,1.0,380.7,184.5
Uo.png,P13,Local,0.0,434.7,232.0
Uo.png,P13,Local,0.0,451.0,319.1
Uo.png,P13,Local,0.0,505.2,322.3
Uo.png,P13,Local,0.0,444.5,308.1
Uo.png,P13,Local,0.0,389.0,306.1
Uo.png,P13,Local,0.0,460.8,309.9
Uo.png,P13,Local,1.0,406.5,246.7
Uo.png,P14,Local,0.0,419.1,297.4
Uo.png,P14,Local,1.0,405.5,284.8
Uo.png,P14,Local,0.0,387.3,415.1
Uo.png,P14,Local,0.0,1162.7,-24.7
Uo.png,P14,Local,1.0,408.9,266.9
Uo.png,P14,Local,0.0,419.2,323.2
Uo.png,P14,Local,0.0,362.0,313.9
Uo.png,P14,Local,0.0,433.0,195.4
Uo.png,P14,Local,1.0,424.9,219.3
