RAW_Type0non_1social,RAW_Fixation_Duration,RAW_ZscoreDURATION_AllPs=(F2-350)/291.4,RAW_DUR_ZscorebyP,RAW_Fixation_Start,RAW_P_Navon_Zscore,RAW_NAVON_Z_GROUPminus1_0_1,RAW_NavonTemporalZscore,FILTER_Type0non_1social,FILTER_Fixation_Duration,FILTER_ZscoreDURATION_AllPs=(F2-350)/291.4,FILTER_DUR_ZscorebyP,FILTER_Fixation_Start,FILTER_P_Navon_Zscore,FILTER_NAVON_Z_GROUPminus1_0_1,FILTER_NavonTemporalZscore
0,62,-0.9883321894,-0.8754578755,134,0.98,0,-0.51,0,368,0.06177076184,-0.1981132075,10,-0.13,0,-0.36
0,900,1.887439945,2.194139194,134,0.98,0,-0.51,0,294,-0.1921757035,-0.4308176101,10,-0.13,0,-0.36
0,790,1.509951956,1.791208791,134,0.98,0,-0.51,0,176,-0.5971173644,-0.8018867925,10,-0.13,0,-0.36
1,70,-0.9608785175,-0.8461538462,134,0.98,0,-0.51,0,584,0.8030199039,0.4811320755,10,-0.13,0,-0.36
1,730,1.304049417,1.571428571,134,0.98,0,-0.51,0,242,-0.370624571,-0.5943396226,10,-0.13,0,-0.36
1,38,-1.070693205,-0.9633699634,134,0.98,0,-0.51,0,236,-0.391214825,-0.6132075472,10,-0.13,0,-0.36
1,188,-0.5559368566,-0.4139194139,134,0.98,0,-0.51,0,236,-0.391214825,-0.6132075472,10,-0.13,0,-0.36
0,778,1.468771448,1.04815864,134,-0.89,0,0.35,0,252,-0.3363074811,-0.5628930818,10,-0.13,0,-0.36
0,50,-1.029512697,-1.014164306,134,-0.89,0,0.35,0,734,1.317776253,0.9528301887,10,-0.13,0,-0.36
1,158,-0.6588881263,-0.858490566,136,-0.13,0,-0.36,0,246,-0.3568977351,-0.5817610063,10,-0.13,0,-0.36
0,52,-1.022649279,-1.052980132,136,-0.18,0,-0.18,0,790,1.509951956,1.128930818,10,-0.13,0,-0.36
0,768,1.434454358,1.710622711,136,0.98,0,-0.51,0,206,-0.4941660947,-0.7075471698,10,-0.13,0,-0.36
1,520,0.5833905285,0.8021978022,136,0.98,0,-0.51,0,892,1.859986273,1.449685535,10,-0.13,0,-0.36
1,838,1.674673988,1.218130312,136,-0.89,0,0.35,0,862,1.757035003,1.355345912,10,-0.13,0,-0.36
0,738,1.331503089,1.492307692,138,1.04,1,-1.07,0,1378,3.527796843,2.977987421,10,-0.13,0,-0.36
1,196,-0.5284831846,-0.5,138,-0.5,0,-0.18,0,276,-0.2539464653,-0.4874213836,10,-0.13,0,-0.36
0,766,1.42759094,1.053459119,140,-0.13,0,-0.36,0,288,-0.2127659574,-0.4496855346,10,-0.13,0,-0.36
1,746,1.35895676,0.9575070822,140,-0.89,0,0.35,0,206,-0.4941660947,-0.7075471698,10,-0.13,0,-0.36
1,304,-0.1578586136,-0.1769230769,142,1.04,1,-1.07,0,198,-0.5216197666,-0.7327044025,10,-0.13,0,-0.36
1,114,-0.8098833219,-0.5391304348,144,-0.5,0,2.3,0,758,1.400137268,1.028301887,10,-0.13,0,-0.36
1,118,-0.7961564859,-0.8344370861,144,-0.18,0,-0.18,0,260,-0.3088538092,-0.5377358491,10,-0.13,0,-0.36
0,130,-0.754975978,-0.7946428571,146,-0.5,0,-0.18,0,200,-0.5147563487,-0.7264150943,10,-0.13,0,-0.36
