Image,P_ID,Condition,In_Out,X,Y
1016.0,P1,fil_non,0.0,298.8,160.0
1016.0,P1,fil_non,0.0,143.8,31.7
1016.0,P1,fil_non,0.0,38.9,-4.5
1016.0,P7,fil_non,1.0,405.3,270.0
1016.0,P7,fil_non,1.0,417.8,301.2
1016.0,P7,fil_non,1.0,513.8,282.9
1016.0,P7,fil_non,0.0,182.6,434.5
1016.0,P7,fil_non,1.0,455.5,259.2
1016.0,P7,fil_non,1.0,562.9,50.8
1016.0,P7,fil_non,0.0,781.2,194.0
1016.0,P7,fil_non,1.0,611.4,301.1
1016.0,P7,fil_non,1.0,497.7,302.0
1016.0,P7,fil_non,1.0,60.7,211.7
1016.0,P7,raw_non,1.0,382.9,243.8
1017.0,P1,fil_sem,1.0,400.9,350.6
1017.0,P1,fil_sem,1.0,445.8,460.7
1017.0,P1,fil_sem,1.0,621.9,250.9
1017.0,P1,fil_sem,1.0,655.9,216.7
1017.0,P1,fil_sem,1.0,687.3,367.3
1017.0,P1,fil_sem,0.0,599.0,731.1
1017.0,P1,fil_sem,0.0,606.8,405.3
1017.0,P1,fil_sem,0.0,506.9,416.7
1017.0,P1,fil_sem,1.0,458.7,418.4
1017.0,P1,fil_sem,0.0,328.8,165.5
1017.0,P7,fil_sem,0.0,416.4,233.8
1017.0,P7,fil_sem,0.0,446.1,325.8
1017.0,P7,fil_sem,1.0,410.1,366.6
1017.0,P7,fil_sem,1.0,630.7,103.9
1017.0,P7,fil_sem,1.0,175.1,423.4
1017.0,P7,fil_sem,1.0,419.5,368.6
1017.0,P7,fil_sem,1.0,144.9,430.6
1017.0,P7,fil_sem,1.0,189.7,441.4
1017.0,P7,fil_sem,1.0,137.9,448.1
1017.0,P7,fil_sem,1.0,396.5,400.7
1017.0,P7,fil_sem,1.0,430.7,379.1
1017.0,P7,raw_sem,0.0,396.8,329.1
1017.0,P7,raw_sem,1.0,628.6,116.2
1017.0,P7,raw_sem,1.0,428.2,358.1
1018.0,P1,fil_sem,1.0,394.1,338.5
1018.0,P1,fil_sem,1.0,283.0,229.5
1018.0,P1,fil_sem,1.0,306.9,295.5
1018.0,P1,fil_sem,1.0,344.9,358.9
1018.0,P1,fil_sem,0.0,149.0,802.4
1018.0,P1,fil_sem,0.0,311.1,816.3
1018.0,P1,fil_sem,0.0,352.0,697.2
1018.0,P7,fil_sem,1.0,397.7,266.0
1018.0,P7,fil_sem,1.0,286.9,186.4
1018.0,P7,fil_sem,1.0,517.6,172.2
1018.0,P7,fil_sem,1.0,281.3,140.5
1018.0,P7,fil_sem,1.0,135.6,333.9
1018.0,P7,fil_sem,1.0,514.2,411.8
1018.0,P7,fil_sem,1.0,449.1,464.4
1018.0,P7,fil_sem,1.0,452.9,414.5
1018.0,P7,raw_sem,1.0,392.1,263.8
1018.0,P7,raw_sem,1.0,309.4,206.1
1018.0,P7,raw_sem,1.0,268.9,157.0
1020.0,P1,fil_sem,1.0,411.7,308.0
1020.0,P1,fil_sem,1.0,483.3,201.4
1020.0,P1,fil_sem,0.0,329.9,398.0
1020.0,P1,fil_sem,1.0,365.0,340.7
