RECORDING_SESSION_LABEL,TRIAL_INDEX,Trial_Index_,Image,image_type,response,trial_num,CURRENT_FIX_DURATION,CURRENT_FIX_INDEX,CURRENT_FIX_START,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_IS_RT_END,X,Y
P1,11,10,Uo.png,Local,b,0,174,19,5254,734.9,596,FALSE,174.9,356
P1,11,10,Uo.png,Local,b,0,180,20,5460,911.1,600.2,FALSE,351.1,360.2
P1,11,10,Uo.png,Local,b,0,166,21,5688,1201.1,578.6,FALSE,641.1,338.6
P1,11,10,Uo.png,Local,b,0,184,22,5880,1299.3,557,FALSE,739.3,317
P1,12,11,Uo.png,Local,b,0,1196,1,10,895.4,408.6,FALSE,335.4,168.6
P1,12,11,Uo.png,Local,b,0,520,2,1336,920.8,429.2,FALSE,360.8,189.2
P1,12,11,Uo.png,Local,b,0,798,3,2060,938.5,482.1,FALSE,378.5,242.1
P1,12,11,Uo.png,Local,b,0,122,4,2878,906.5,402.2,FALSE,346.5,162.2
P1,12,11,Uo.png,Local,b,0,114,5,3042,939.5,716.1,FALSE,379.5,476.1
P1,12,11,Uo.png,Local,b,0,200,6,3212,709.8,1141,FALSE,149.8,901
P1,12,11,Uo.png,Local,b,0,164,7,3438,581,1126.5,FALSE,21,886.5
P1,12,11,Uo.png,Local,b,0,112,8,3620,531.5,1117,FALSE,-28.5,877
P1,12,11,Uo.png,Local,b,0,408,9,3762,617.1,1129.9,FALSE,57.1,889.9
P1,12,11,Uo.png,Local,b,0,158,10,4240,933,733.4,FALSE,373,493.4
P1,12,11,Uo.png,Local,b,0,176,11,4436,889.2,467.2,FALSE,329.2,227.2
P1,12,11,Uo.png,Local,b,0,196,12,4632,831.7,510.7,FALSE,271.7,270.7
P1,13,12,Ht.png,Global,b,0,18,1,10,-40,-268.8,FALSE,-600,-508.8
P1,13,12,Ht.png,Global,b,0,86,2,134,925.1,454.1,FALSE,365.1,214.1
P1,13,12,Ht.png,Global,b,0,252,3,246,854,423.8,FALSE,294,183.8
P1,14,13,Ht.png,Global,b,0,252,1,1638,926,1153.6,FALSE,366,913.6
P1,14,13,Ht.png,Global,b,0,88,2,1960,1035.6,481.8,FALSE,475.6,241.8
P1,14,13,Ht.png,Global,b,0,378,3,2082,1035.8,338.5,FALSE,475.8,98.5
P1,15,14,Ht.png,Global,b,0,162,1,10,968.8,522.6,FALSE,408.8,282.6
P1,15,14,Ht.png,Global,b,0,284,2,200,1013.7,584.5,FALSE,453.7,344.5
P1,15,14,Ht.png,Global,b,0,176,3,546,840.1,1132.2,FALSE,280.1,892.2
P1,15,14,Ht.png,Global,b,0,1082,4,788,1013.7,578.7,FALSE,453.7,338.7
P1,15,14,Ht.png,Global,b,0,174,5,1894,993,647.9,FALSE,433,407.9
P1,15,14,Ht.png,Global,b,0,606,6,2128,859.9,1124,FALSE,299.9,884
P1,15,14,Ht.png,Global,b,0,264,7,2764,732.3,1119.8,FALSE,172.3,879.8
P1,15,14,Ht.png,Global,b,0,144,8,3096,1019.6,691.1,FALSE,459.6,451.1
P1,15,14,Ht.png,Global,b,0,252,9,3274,1019.1,533.1,FALSE,459.1,293.1
P1,15,14,Ht.png,Global,b,0,208,10,3546,1007.6,601.5,FALSE,447.6,361.5
P1,16,15,Ss.png,None,n,0,4,1,22,159.7,269.2,FALSE,-400.3,29.2
P1,16,15,Ss.png,None,n,0,200,2,288,1019,652.9,FALSE,459,412.9
P1,16,15,Ss.png,None,n,0,194,3,606,986.8,610.1,FALSE,426.8,370.1
P1,16,15,Ss.png,None,n,0,1750,4,820,1014.8,596.2,FALSE,454.8,356.2
P1,16,15,Ss.png,None,n,0,136,5,2648,630.9,1114.3,FALSE,70.9,874.3
P1,16,15,Ss.png,None,n,0,90,6,2812,519.5,1090.5,FALSE,-40.5,850.5
P1,16,15,Ss.png,None,n,0,116,7,2968,943.5,748.6,FALSE,383.5,508.6
P1,16,15,Ss.png,None,n,0,666,8,3120,978.2,554.1,FALSE,418.2,314.1
P1,16,15,Ss.png,None,n,0,96,9,3806,1001.8,490.5,FALSE,441.8,250.5
P1,16,15,Ss.png,None,n,0,302,10,3962,593.4,1113.9,FALSE,33.4,873.9
